statcd,statname,lat,long
1,Jammu and Kashmir,34.109423204146644,76.74945833575917
2,Himachal Pradesh,31.913272223140222,77.35525154261354
3,Punjab,30.87656051991891,75.43905135978302
4,Chandigarh,30.738603778157938,76.7748564189683
5,Uttaranchal,30.309891952052634,79.12758934626721
6,Haryana,29.16319090808155,76.35553842213847
7,Delhi,28.662105560507833,77.12508494850798
8,Rajasthan,26.524705571904835,73.98123226023516
9,Uttar Pradesh,27.25045020832647,80.76002495276454
10,Bihar,25.75635710801573,85.86212554643407
11,Sikkim,27.578148276372815,88.43682311439154
12,Arunachal Pradesh,28.56266215579593,94.97480964447952
13,Nagaland,26.076546962726663,94.55791031732797
14,Manipur,24.796249668508917,93.93737627272942
15,Mizoram,23.29598351400254,92.7980196705146
16,Tripura,23.788938257448176,91.74269112619002
17,Meghalaya,25.57824247311253,91.29983952369028
18,Assam,26.310012438200907,92.71204145474609
19,West Bengal,24.326274418604623,88.0785964392474
20,Jharkhand,23.369798860437125,85.56364490981254
21,Orissa,20.660687661925493,84.67484678095362
22,Chhattisgarh,21.222984641830806,81.8228312643427
23,Madhya Pradesh,23.58569829108268,78.40934516060855
24,Gujarat,22.867792056338676,71.99790477893328
25,Daman and Diu,20.722646481116207,70.95275311408197
26,Dadra and Nagar Haveli,20.19644763764563,73.07829850635402
27,Maharashtra,19.310843451341643,75.95935740864745
28,Andhra Pradesh,15.198275546037063,79.082188772113
29,Karnataka,14.963817777171858,75.90841863368185
30,Goa,15.332470102495634,74.07269339091668
31,Lakshadweep,11.205709237658153,72.51478856584549
32,Kerala,10.306349684959,76.46272196649696
33,Tamil Nadu,11.173825311030464,78.71399338095814
34,Puducherry,11.941835420612161,79.81438575383575
35,Andaman and Nicobar,10.71558993717953,92.50028728847919
36,Telangana,17.90419433598465,79.13757581422298
